Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
QUERCUS GARRYANA POLLEN	QQ00BED0DV						
QUERCUS KELLOGGII POLLEN	02RVY6X9EC						
QUERCUS LOBATA POLLEN	HGH5K3653K						
QUERCUS MACROCARPA POLLEN	57BTU4547U						
QUERCUS MUEHLENBERGII POLLEN	434DQ2U4JX						
QUERCUS NIGRA POLLEN	6U600U1326						
QUERCUS PALUSTRIS POLLEN	CU781COT7M						
QUERCUS RUBRA POLLEN	SVW19ET93C						
QUERCUS STELLATA POLLEN	W34X0P8636						
QUERCUS VELUTINA POLLEN	294L626TT0						
QUERCUS VIRGINIANA POLLEN	8KDG09A4GO						
QUETIAPINE	BGL0JSY5SI	DB01224	Quetiapine	DB01224	Quetiapine	DB01224	Quetiapine
QUINAPRIL	RJ84Y44811	DB00881	Quinapril	DB00881	Quinapril		
QUINAPRILAT	34SSX5LDE5						
QUINIDINE	ITX08688JL	DB00908	Quinidine	DB00908	Quinidine		
QUININE	A7V27PHC7A	DB00468	Quinine	DB00468	Quinine		
QUINUPRISTIN	23OW28RS7P	DB01369	Quinupristin				
RABBIT	O5V0F26RUW						
RABEPRAZOLE	32828355LL	DB01129	Rabeprazole	DB01129	Rabeprazole		
RACEPINEPHRINE	GR0L9S3J0F	DB00668	Epinephrine				
RADISH	EM5RP35463						
RALOXIFENE	YX9162EO3I	DB00481	Raloxifene	DB00481	Raloxifene		
RALTEGRAVIR	22VKV8053U						
RAMELTEON	901AS54I69	DB00980	Ramelteon				
RAMIPRIL	L35JN3I7SJ	DB00178	Ramipril	DB00178	Ramipril	DB00178	Ramipril
RAMIPRILAT	6N5U4QFC3G						
RANIBIZUMAB	ZL1R02VT79	DB01270	Ranibizumab				
RANITIDINE	884KT10YB7	DB00863	Ranitidine	DB00863	Ranitidine		
RANOLAZINE	A6IEZ5M406	DB00243	Ranolazine			DB00243	Ranolazine
RASAGILINE	003N66TS6T	DB01367	Rasagiline				
RASBURICASE	08GY9K1EUO	DB00049	Rasburicase				
RASPBERRY	4N14V5R27W						
RATTUS NORVEGICUS SKIN	Y69HPD48AI						
RED CURRANT	Q5YG47WU3D						
RED SNAPPER	WF621S7K14						
REGADENOSON	2XLN4Y044H						
REMIFENTANIL	P10582JYYK	DB00899	Remifentanil				
REPAGLINIDE	668Z8C33LU	DB00912	Repaglinide				
RESERPINE	8B1QWR724A	DB00206	Reserpine	DB00206	Reserpine	DB00206	Reserpine
RESORCINOL	YUL4LO94HK						
RETAPAMULIN	4MG6O8991R	DB01256	Retapamulin				
RETEPLASE	DQA630RIE9	DB00015	Reteplase				
RETINOL	G2SH0XKK91			DB00162	Vitamin A		
RHIZOPUS ARRHIZUS VAR. ARRHIZUS	8476849N1Y						
RHIZOPUS STOLONIFER	FEE198DK4Q						
RHODOTORULA MUCILAGINOSA	62TY3X4N9Z						
RHODOTORULA RUBRA	15W81V867R						
RHUBARB	G280W4MW6E						
RHUS GLABRA POLLEN	5THQ6K6J4O						
RIBAVIRIN	49717AWG6K	DB00811	Ribavirin				
RIBOFLAVIN	TLM2976OFR	DB00140	Riboflavin	DB00140	Riboflavin		
RICE	659G217HPG						
RIFABUTIN	1W306TDA6S	DB00615	Rifabutin			DB00615	Rifabutin
RIFAMPIN	VJT6J7R4TR	DB01045	Rifampin	DB01045	Rifampin		
RIFAPENTINE	XJM390A33U	DB01201	Rifapentine				
RIFAXIMIN	L36O5T016N	DB01220	Rifaximin			DB01220	Rifaximin
RILONACEPT	8K80YB5GMG						
RILPIVIRINE	FI96A8X663					DB08592	4-{[4-({4-[(E)-2-cyanoethenyl]-2,6-dimethylphenyl}amino)pyrimidin-2-yl]amino}benzonitrile
RILUZOLE	7LJ087RS6F	DB00740	Riluzole			DB00740	Riluzole
RIMABOTULINUMTOXINB	0Y70779M1F	DB00042	Botulinum Toxin Type B				
RIMANTADINE	0T2EF4JQTU	DB00478	Rimantadine				
RIMEXOLONE	O7M2E4264D	DB00896	Rimexolone				
RISEDRONIC ACID	KM2Z91756Z	DB00884	Risedronate			DB00884	Risedronate
RISPERIDONE	L6UH7ZF8HC	DB00734	Risperidone	DB00734	Risperidone	DB00734	Risperidone
RITONAVIR	O3J8G9O825	DB00503	Ritonavir				
RITUXIMAB	4F4X42SYQ6	DB00073	Rituximab				
RIVAROXABAN	9NDF7JZ4M3	DB06228	Rivaroxaban			DB08477	5-chloro-N-({(5S)-2-oxo-3-[4-(3-oxomorpholin-4-yl)phenyl]-1,3-oxazolidin-5-yl}methyl)thiophene-2-carboxamide
RIVASTIGMINE	PKI06M3IW0	DB00989	Rivastigmine	 	 		
RIZATRIPTAN	51086HBW8G	DB00953	Rizatriptan	DB00953	Rizatriptan		
ROBINIA PSEUDOACACIA POLLEN	8003NOJ82F						
ROCURONIUM	WRE554RFEZ	DB00728	Rocuronium	DB00728	Rocuronium		
ROFLUMILAST	0P6C6ZOP5U						
ROMIDEPSIN	CX3T89XQBK						
ROMIPLOSTIM	GN5XU2DXKV						
ROPINIROLE	030PYR8953	DB00268	Ropinirole	DB00268	Ropinirole		
ROPIVACAINE	7IO5LYA57N	DB00296	Ropivacaine				
ROSEMARY	IJ67X351P9						
ROSIGLITAZONE	05V02F2KDG	DB00412	Rosiglitazone	DB00412	Rosiglitazone	DB00412	Rosiglitazone
ROSUVASTATIN	413KH5ZJ73	DB01098	Rosuvastatin	DB01098	Rosuvastatin		
ROSUVASTATIN CALCIUM	83MVU38M7Q	DB01098	Rosuvastatin				
ROTIGOTINE	87T4T8BO2E	DB05271	Rotigotine				
RUFINAMIDE	WFW942PR79						
RUMEX ACETOSELLA POLLEN	N52MIQ81ZW						
RUMEX ALTISSIMUS POLLEN	BML0J15H8W						
RUMEX CRISPUS POLLEN	V825XJG64G						
RUMEX OBTUSIFOLIUS POLLEN	R6H8O3GVL9						
RUXOLITINIB	82S8X8XX8H						
RYE	0R4AQI398X						
SACCHARIDE ISOMERATE	W8K377W98I						
SACCHARIN	FST467XS7D						
SACCHAROMYCES CEREVISIAE	978D8U419H						
SACROSIDASE	8A7F670F2Y						
SAFFLOWER	4VBL71TY4Y						
SAFFLOWER OIL	65UEH262IS						
SAGE	065C5D077J						
SALICYLAMIDE	EM8BM710ZC	DB08797	Salicylamide			DB08797	Salicylamide
SALICYLIC ACID	O414PZ4LPZ	DB00936	Salicyclic acid	DB00936	Salicyclic acid		
SALIX ALBA BARK	205MXS71H7						
SALIX DISCOLOR POLLEN	ER172J09FM						
SALIX LASIOLEPIS POLLEN	808UWJ59FI						
SALIX NIGRA POLLEN	6M2JIH93ZN						
SALMETEROL	2I4BC502BT	DB00938	Salmeterol				
SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR TYPHI	760T5R8B3O						
SALSALATE	V9MO595C9I	DB01399	Salsalate			DB01399	Salsalate
SALSOLA KALI POLLEN	2MH135KC6G						
SAMARIUM	42OD65L39F						
SAPROPTERIN	EGX657432I	DB00360	Tetrahydrobiopterin			DB00360	Tetrahydrobiopterin
SAQUINAVIR	L3JE09KZ2F	DB01232	Saquinavir				
SARCOBATUS VERMICULATUS POLLEN	6532U64A3X						
SARGRAMOSTIM	5TAA004E22	DB00020	Sargramostim				
SAXAGLIPTIN	9GB927LAJW	DB06335	Saxagliptin				
SAXAGLIPTIN ANHYDROUS	8I7IO46IVQ						
SCHINUS MOLLE POLLEN	M0G28FH9K1						
SCOPOLAMINE	DL48G20X8X	DB00747	Scopolamine	DB00747	Scopolamine		
SECALE CEREALE POLLEN	I6KAZ8AO1O						
SECOBARBITAL	1P7H87IN75	DB00418	Secobarbital	DB00418	Secobarbital		
SECRETIN HUMAN	A0426J905J						
SELEGILINE	2K1V7GP655	DB01037	Selegiline	DB01037	Selegiline		
SELENIUM	H6241UJ22B						
SELENIUM SULFIDE	Z69D9E381Q	DB00971	Selenium Sulfide				
SELENOMETHIONINE	964MRK2PEL						
SENNA LEAF	AK7JF626KX						
SENNOSIDES	3FYP5M0IJX						
SENNOSIDES A AND B	1B5FPI42EN						
SEQUOIA SEMPERVIRENS POLLEN	NBV527E8B4						
SERINE	452VLY9402	DB00133	L-Serine	DB00133	L-Serine	DB00133	L-Serine
SERINUS CANARIA FEATHER	9EL3384IQY						
SERTACONAZOLE	72W71I16EG	DB01153	Sertaconazole				
SERTRALINE	QUC7NX6WMB	DB01104	Sertraline	DB01104	Sertraline		
SESAME OIL	QX10HYY4QV						
SESAME SEED	7Y1255HVXR						
SEVELAMER	941N5DUU5C	DB00658	Sevelamer				
SEVOFLURANE	38LVP0K73A	DB01236	Sevoflurane	DB01236	Sevoflurane		
SHARK LIVER OIL	4B24275HEU						
SIBUTRAMINE	WV5EC51866	DB01105	Sibutramine				
SILDENAFIL	3M7OB98Y7H	DB00203	Sildenafil	DB00203	Sildenafil	DB00203	Sildenafil
SILICON	Z4152N8IUI						
SILICON DIOXIDE	ETJ7Z6XBU4						
SILODOSIN	CUZ39LUY82						
SILVER	3M4G523W1G						
SILVER CATION	57N7B0K90A						
SILVER SULFADIAZINE	W46JY43EJR	DB05245	Silver sulfadiazine	DB05245	Silver sulfadiazine		
SIMMONDSIA CHINENSIS SEED	D24K2Q1F6H						
SIMVASTATIN	AGG2FN16EV	DB00641	Simvastatin	DB00641	Simvastatin	DB00641	Simvastatin
SINCALIDE	M03GIQ7Z6P						
SINECATECHINS	T432289GYZ	 	 				
SIROLIMUS	W36ZG6FT64	DB00877	Sirolimus	DB00877	Sirolimus		
SITAGLIPTIN	QFP0P1DV7Z	DB01261	Sitagliptin	DB01261	Sitagliptin	DB01261	Sitagliptin
SITOTROGA CEREALELLA	9T28I7BPNO						
SMELT	9VVF5SCM9I						
SODIUM	9NEZ333N27						
SODIUM ACETATE	4550K0SC9B						
SODIUM BICARBONATE	8MDF5V39QO	DB01390	Sodium bicarbonate	DB01390	Sodium bicarbonate		
SODIUM CATION	LYR4M0NH37						
SODIUM CHLORIDE	451W47IQ8X						
SODIUM GLUCONATE	R6Q3791S76						
SODIUM LACTATE	TU7HW0W0QT						
SODIUM PHOSPHATE	SE337SVY37						
SODIUM PHOSPHATE, DIBASIC	GR686LBA74						
SODIUM PYROPHOSPHATE	O352864B8Z						
SODIUM TETRADECYL SULFATE	Q1SUG5KBD6	DB00464	Sodium Tetradecyl Sulfate				
SOLENOPSIS INVICTA	5O7CR4P444						
SOLIDAGO CANADENSIS POLLEN	644CZ16IR5						
SOLIFENACIN	A8910SQJ1U	DB01591	Solifenacin				
SOMATROPIN	NQX9KB6PCL	DB00052	Somatropin recombinant				
SORAFENIB	9ZOQ3TZI87	DB00398	Sorafenib	DB00398	Sorafenib		
SORBITOL	506T60A25R						
SORGHUM BICOLOR SUBSP. DRUMMONDII POLLEN	B43R30VP73						
SORGHUM HALEPENSE POLLEN	577VA5B4HP						
SOTALOL	A6D97U294I	DB00489	Sotalol				
SOUR CHERRY	1L29G6428X						
SOY ISOFLAVONES	71B37NR06D						
SOY STEROL	PL360EPO9J						
SOYBEAN	L7HT8F1ZOD						
SOYBEAN OIL	241ATL177A						
SPEARMINT	J7I2T6IV1N						
SPECTINOMYCIN	93AKI1U6QF	DB00919	Spectinomycin			DB00919	Spectinomycin
SPINACH	6WO75C6WVB						
SPINOSAD	XPA88EAP6V						
SPIRONOLACTONE	27O7W4T232	DB00421	Spironolactone	DB00421	Spironolactone		
SPORISORIUM CRUENTUM	GQM6LVU5V8						
SPOROTRICHUM PRUINOSUM	H20KU95UBG						
SQUASH	9961HBA483						
STACHYBOTRYS CHARTARUM	HJ4L70T1ZP						
STANNOUS CATION	QI30938BMS						
STANNOUS FLUORIDE	3FTR44B32Q						
STARCH, CORN	O8232NY3SJ						
STARCH, TAPIOCA	24SC3U704I						
STAVUDINE	BO9LE4QFZF	DB00649	Stavudine				
STEARIC ACID	4ELV7Z65AP	DB03193	Stearic acid	DB03193	Stearic acid		
STEMPHYLIUM SARCINIFORME	XQ14H1462M						
STRAWBERRY	4J2TY8Y81V						
STREPTOMYCES GRISEUS	G0O5980Z7W						
STREPTOMYCIN	Y45QSO73OB	DB01082	Streptomycin	DB01082	Streptomycin		
STREPTOZOCIN	5W494URQ81	DB00428	Streptozocin	DB00428	Streptozocin		
STRING BEAN	N9D69B2Q7Y						
STRONTIUM	YZS2RPE8LE						
STYPOCAULON SCOPARIUM	C4AD0HDH4I						
SUCCIMER	DX1U2629QE	 	 			 	 
SUCCINIC ACID	AB6MNQ6J6L	DB00139	Succinic acid	DB00139	Succinic acid		
SUCCINYLCHOLINE	J2R869A8YF	DB00202	Succinylcholine	DB00202	Succinylcholine		
SUCRALFATE	XX73205DH5	DB00364	Sucralfate				
SUCROSE	C151H8M554	DB02772	Sucrose	DB02772	Sucrose		
SUFENTANIL	AFE2YW0IIZ	DB00708	Sufentanil	DB00708	Sufentanil		
SUGARCANE	81H2R5AOH3						
SULBACTAM	S4TF6I2330						
SULCONAZOLE	5D9HAA5Q5S						
SULFACETAMIDE	4965G3J0F5	DB00634	Sulfacetamide	DB00634	Sulfacetamide		
SULFADIAZINE	0N7609K889	DB00359	Sulfadiazine	DB00359	Sulfadiazine	 	 
SULFAMETHOXAZOLE	JE42381TNV	DB01015	Sulfamethoxazole	DB01015	Sulfamethoxazole	DB01015	Sulfamethoxazole
SULFANILAMIDE	21240MF57M	DB00259	Sulfanilamide			DB00259	Sulfanilamide
SULFASALAZINE	3XC8GUZ6CB	DB00795	Sulfasalazine	DB00795	Sulfasalazine		
SULFATE ION	7IS9N8KPMG						
SULFISOXAZOLE	740T4C525W	DB00263	Sulfisoxazole	DB00263	Sulfisoxazole	DB00263	Sulfisoxazole
SULFUR	70FD1KFU70						
SULINDAC	184SNS8VUH	DB00605	Sulindac	DB00605	Sulindac		
SULISOBENZONE	1W6L629B4K						
SUMATRIPTAN	8R78F6L9VO	DB00669	Sumatriptan	DB00669	Sumatriptan		
SUNFLOWER SEED	R9N3379M4Z						
SUNITINIB	V99T50803M	DB01268	Sunitinib	DB01268	Sunitinib	DB01268	Sunitinib
SUPROFEN	988GU2F9PE	DB00870	Suprofen	DB00870	Suprofen		
SUS SCROFA HAIR	7Q7T9Z7QUW						
SUS SCROFA SKIN	3EM4VW6TQN						
SUS SCROFA STOMACH	T0920P9Z9A						
SWEET CHERRY	93T4562ZI3						
SWEET POTATO	M9WGG9Z9GK						
SWERTIA JAPONICA	01X0P6GX6C						
SWORDFISH	01695YPV36						
SYAGRUS ROMANZOFFIANA POLLEN	84ZOM591BB						
SYNCEPHALASTRUM RACEMOSUM	2VWV12V9WR						
TACRINE	4VX7YNB537	DB00382	Tacrine				
TACROLIMUS	WM0HAQ4WNM	DB00864	Tacrolimus	DB00864	Tacrolimus		
TACROLIMUS ANHYDROUS	Y5L2157C4J			DB00864	Tacrolimus		
TADALAFIL	742SXX0ICT	DB00820	Tadalafil				
TAFLUPROST	1O6WQ6T7G3	DB08819	Tafluprost				
TALC	7SEV7J4R1U	 	 				
TALIGLUCERASE ALFA	0R4NLX88O4						
TAMARIX GALLICA POLLEN	43IR7KR479						
TAMOXIFEN	094ZI81Y45	DB00675	Tamoxifen				
TAMSULOSIN	G3P28OML5I	DB00706	Tamsulosin	DB00706	Tamsulosin		
TANACETUM CINERARIIFOLIUM FLOWER	CGF76TP7X6						
TANGERINE	KH3E3096OO						
TAPENTADOL	H8A007M585						
TARAXACUM OFFICINALE POLLEN	WQ3S5294XY						
TARTARIC ACID	W4888I119H						
TAURINE	1EQV5MLY3D			DB01956	2-Aminoethanesulfonic Acid		
TAXODIUM DISTICHUM POLLEN	O12H03B41R						
TAZAROTENE	81BDR9Y8PS	DB00799	Tazarotene	DB00799	Tazarotene		
TAZOBACTAM	SE10G96M8W	DB01606	Tazobactam				
TEA LEAF	GH42T47V24						
TEA TREE OIL	VIF565UC2G						
TECHNETIUM TC-99M	6EW75241VU						
TECHNETIUM TC-99M DISOFENIN	QTJ2VIW97T						
TEGASEROD	458VC51857	DB01079	Tegaserod	DB01079	Tegaserod		
TELAPREVIR	655M5O3W0U	DB05521	Telaprevir				
TELAVANCIN	XK134822Z0						
TELBIVUDINE	2OC4HKD3SF	DB01265	Telbivudine			DB01265	Telbivudine
TELITHROMYCIN	KI8H7H19WL	DB00976	Telithromycin				
TELMISARTAN	U5SYW473RQ	DB00966	Telmisartan	DB00966	Telmisartan		
TEMAZEPAM	CHB1QD2QSS	DB00231	Temazepam			DB00231	Temazepam
TEMOZOLOMIDE	YF1K15M17Y	DB00853	Temozolomide			DB00853	Temozolomide
TEMSIROLIMUS	624KN6GM2T	DB06287	Temsirolimus				
TENECTEPLASE	WGD229O42W	DB00031	Tenecteplase				
TENIPOSIDE	957E6438QA	DB00444	Teniposide				
TENOFOVIR	99YXE507IL	DB00300	Tenofovir			DB00300	Tenofovir
TENOFOVIR ANHYDROUS	W4HFE001U5						
TERAZOSIN	8L5014XET7	DB01162	Terazosin	 	 		
TERBINAFINE	G7RIW8S0XP	DB00857	Terbinafine			DB00857	Terbinafine
TERBUTALINE	N8ONU3L3PG	DB00871	Terbutaline				
TERCONAZOLE	0KJ2VE664U	DB00251	Terconazole				
TERIPARATIDE	10T9CSU89I	DB06285	Teriparatide				
TESAMORELIN	MQG94M5EEO						
TESTOSTERONE	3XMK78S47O	DB00624	Testosterone	DB00624	Testosterone	DB00624	Testosterone
TESTOSTERONE CYPIONATE	M0XW1UBI14						
TETRABENAZINE	Z9O08YRN8O	DB04844	Tetrabenazine			DB04844	Tetrabenazine
TETRACAINE	0619F35CGV						
TETRACOCCOSPORIUM PAXIANUM	KSY1AWN59I						
TETRACYCLINE	F8VB5M810T	DB00759	Tetracycline	DB00759	Tetracycline		
TETRADECYL HYDROGEN SULFATE (ESTER)	6326W0DRHY						
TETRAHYDROZOLINE	S9U025Y077						
TETRAKIS(2-METHOXYISOBUTYLISOCYANIDE)COPPER(I) TETRAFLUOROBORATE	N6OU7HJ70P						
TETROFOSMIN	3J0KPB596Q						
THALIDOMIDE	4Z8R6ORS6L	DB01041	Thalidomide			DB01041	Thalidomide
THALLIUM CATION TL-201 (1+)	4877X14G4C						
THEOPHYLLINE	C137DTR5RG	DB00277	Theophylline	DB00277	Theophylline		
THEOPHYLLINE ANHYDROUS	0I55128JYK	DB00277	Theophylline	DB00277	Theophylline		
THERMOMYCES LANUGINOSUS	YI3WT83KTW						
THIABENDAZOLE	N1Q45E87DT	DB00730	Thiabendazole	DB00730	Thiabendazole	DB00730	Thiabendazole
THIAMINE	X66NSO3N35	DB00152	Thiamine	DB00152	Thiamine		
THIOGUANINE	FTK8U1GZNX	DB00352	Thioguanine			DB00352	Thioguanine
THIORIDAZINE	N3D6TG58NI	DB00679	Thioridazine	DB00679	Thioridazine	DB00679	Thioridazine
THIOTEPA	905Z5W3GKH	DB04572	Thiotepa				
THIOTHIXENE	7318FJ13YJ	DB01623	Thiothixene			DB01623	Thiothixene
THONZONIUM BROMIDE	JI2B19CR0R						
THREONINE	2ZD004190S	DB00156	L-Threonine	DB00156	L-Threonine	DB00156	L-Threonine
THROMBIN	25ADE2236L						
THROMBIN HUMAN	6K15ABL77G						
THYME	CW657OBU4N						
THYMOL	3J50XA376E			DB02513	5-Methyl-2-(1-Methylethyl)Phenol	DB02513	5-Methyl-2-(1-Methylethyl)Phenol
THYROID, UNSPECIFIED	0B4FDL9I6P						
THYROTROPIN ALFA	AVX3D5A4LM	DB00024	Thyrotropin Alfa				
TIAGABINE	Z80I64HMNP	DB00906	Tiagabine				
TICAGRELOR	GLH0314RVC	DB08816	Ticagrelor			DB08816	Ticagrelor
TICARCILLIN	F93UJX4SWT	DB01607	Ticarcillin	DB01607	Ticarcillin		
TICLOPIDINE	OM90ZUW7M1	DB00208	Ticlopidine	DB00208	Ticlopidine		
TIGECYCLINE	70JE2N95KR	DB00560	Tigecycline	DB00560	Tigecycline		
TILIA AMERICANA POLLEN	E2B4Q4BXJG						
TILLETIA CARIES	C7000B9PQI						
TILUDRONIC ACID	6PNS59HP4Y	DB01133	Tiludronate				
TIMOLOL	817W3C6175	DB00373	Timolol	DB00373	Timolol		
TIMOLOL ANHYDROUS	5JKY92S7BR						
TINIDAZOLE	033KF7V46H	DB00911	Tinidazole			DB00911	Tinidazole
TINZAPARIN	7UQ7X4Y489	DB06822	Tinzaparin				
TIOCONAZOLE	S57Y5X1117	DB01007	Tioconazole				
TIOTROPIUM	0EB439235F	DB01409	Tiotropium				
TIPRANAVIR	ZZT404XD09	DB00932	Tipranavir				
TIROFIBAN	GGX234SI5H	DB00775	Tirofiban	DB00775	Tirofiban		
TITANIUM	D1JT611TNE						
TITANIUM DIOXIDE	15FIX9V2JP						
TIZANIDINE	6AI06C00GW	DB00697	Tizanidine				
TOBACCO LEAF	6YR2608RSU						
TOBRAMYCIN	VZ8RRZ51VK	DB00684	Tobramycin	DB00684	Tobramycin		
TOCILIZUMAB	I031V2H011	 	 				
TOCOPHEROL	R0ZB2556P8	DB00163	Vitamin E				
TOCOPHERSOLAN	O03S90U1F2						
TOLAZAMIDE	9LT1BRO48Q	DB00839	Tolazamide			DB00839	Tolazamide
TOLBUTAMIDE	982XCM1FOI	DB01124	Tolbutamide	DB01124	Tolbutamide	DB01124	Tolbutamide
TOLCAPONE	CIF6334OLY	DB00323	Tolcapone			DB00323	Tolcapone
TOLMETIN	D8K2JPN18B	DB00500	Tolmetin				
TOLNAFTATE	06KB629TKV	DB00525	Tolnaftate				
TOLTERODINE	WHE7A56U7K	DB01036	Tolterodine	DB01036	Tolterodine		
TOLVAPTAN	21G72T1950						
TOMATO	Z4KHF2C175						
TOPIRAMATE	0H73WJJ391	DB00273	Topiramate			DB00273	Topiramate
TOPOTECAN	7M7YKX2N15	DB01030	Topotecan				
TOREMIFENE	7NFE54O27T	DB00539	Toremifene	DB00539	Toremifene		
TORSEMIDE	W31X2H97FB	DB00214	Torasemide			DB00214	Torasemide
TOSITUMOMAB	0343IGH41U	DB00081	Tositumomab				
TOSITUMOMAB I-131	K1KT5M40JC						
TRAGACANTH	2944357O2O						
TRAMADOL	39J1LGJ30J	DB00193	Tramadol				
TRANDOLAPRIL	1T0N3G9CRC	DB00519	Trandolapril				
TRANDOLAPRILAT	RR6866VL0O						
TRANEXAMIC ACID	6T84R30KC1	DB00302	Tranexamic Acid	DB00302	Tranexamic Acid		
TRANYLCYPROMINE	3E3V44J4Z9	DB00752	Tranylcypromine				
TRASTUZUMAB	P188ANX8CK	DB00072	Trastuzumab				
TRAVOPROST	WJ68R08KX9	DB00287	Travoprost	DB00287	Travoprost		
TRAZODONE	YBK48BXK30	DB00656	Trazodone	DB00656	Trazodone	DB00656	Trazodone
TREPROSTINIL	RUM6K67ESG	DB00374	Treprostinil	DB00374	Treprostinil		
TRETINOIN	5688UTC01R	DB00755	Tretinoin	DB00755	Tretinoin		
TRIAMCINOLONE	1ZK20VI6TY	DB00620	Triamcinolone				
TRIAMCINOLONE ACETONIDE	F446C597KA						
TRIAMTERENE	WS821Z52LQ	DB00384	Triamterene			DB00384	Triamterene
TRIAZOLAM	1HM943223R	DB00897	Triazolam	DB00897	Triazolam	DB00897	Triazolam
TRICHLOROACETIC ACID	5V2JDO056X						
TRICHODERMA HARZIANUM	CA33Q4013Q						
TRICHODERMA VIRIDE	T8678F0P0Q						
TRICHOPHYTON MENTAGROPHYTES	199I7J3JIV						
TRICHOPHYTON RUBRUM	2ZAU32517N						
TRICHOPHYTON SCHOENLEINII	Z4MD1809H1						
TRICHOPHYTON TONSURANS	JY1BE33I3Y						
TRICHOSPORON CUTANEUM	5EUI19VT92						
TRICHOTHECIUM ROSEUM	TGO054E31O						
TRICLOCARBAN	BGG1Y1ED0Y						
TRICLOSAN	4NM5039Y5X	DB08604	TRICLOSAN	DB08604	TRICLOSAN		
TRIENTINE	SJ76Y07H5F						
