Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
ARGIPRESSIN	Y4907O6MFD						
ARIPIPRAZOLE	82VFR53I78	DB01238	Aripiprazole	DB01238	Aripiprazole		
ARMODAFINIL	V63XWA605I						
ARRHENATHERUM ELATIUS POLLEN	B55BD1QM4Q						
ARSENIC TRIOXIDE	S7V92P67HO	DB01169	Arsenic trioxide				
ARTEMETHER	C7D6T3H22J	DB06697	Artemether	DB06697	Artemether		
ARTEMISIA ABSINTHIUM POLLEN	81GS97HVFO						
ARTEMISIA ANNUA POLLEN	36R82U4DL6						
ARTEMISIA CALIFORNICA POLLEN	1EDY616508						
ARTEMISIA DOUGLASIANA POLLEN	K1301R7883						
ARTEMISIA DRACUNCULUS POLLEN	UU78E56M7L						
ARTEMISIA FRIGIDA POLLEN	5AN5LR8L3F						
ARTEMISIA LUDOVICIANA POLLEN	57KIJ4772H						
ARTEMISIA TRIDENTATA POLLEN	YI19RB8YFD						
ARTEMISIA VULGARIS POLLEN	ANT994T71D						
ARTICAINE	D3SQ406G9X						
ARTICHOKE	4F3W47PLBE						
ASCORBIC ACID	PQ6CK8PD0R	DB00126	Vitamin C			DB00126	Vitamin C
ASENAPINE	JKZ19V908O						
ASIAN GINSENG	CUQ3A77YXI	DB01404	Ginseng				
ASPARAGINASE	G4FQ3CKY5R	DB00023	Asparaginase				
ASPARAGUS	Z1EJP3037Z						
ASPARTIC ACID	30KYC7MIAI	DB00128	L-Aspartic Acid	DB00128	L-Aspartic Acid		
ASPERGILLUS FLAVUS	3J888Y9L13						
ASPERGILLUS FUMIGATUS	X88DF51T48						
ASPERGILLUS REPENS	SQ89E6LOME						
ASPERGILLUS TERREUS	QBN8K7055X						
ASPIRIN	R16CO5Y76E	DB00945	Acetylsalicylic acid	DB00945	Acetylsalicylic acid	DB00945	Acetylsalicylic acid
ATAZANAVIR	QZU4H47A3S	DB01072	Atazanavir	DB01072	Atazanavir		
ATENOLOL	50VV3VW0TI	DB00335	Atenolol	DB00335	Atenolol		
ATLANTIC SALMON	7062I37LB3						
ATOMOXETINE	ASW034S0B8	DB00289	Atomoxetine	DB00289	Atomoxetine		
ATORVASTATIN	A0JWA85V8F	DB01076	Atorvastatin				
ATOVAQUONE	Y883P1Z2LT	DB01117	Atovaquone	DB01117	Atovaquone		
ATRACTYLODES JAPONICA ROOT	58N5X5H9XU						
ATRACTYLODES JAPONICA ROOT OIL	EC228KGY00						
ATRACURIUM	2GQ1IRY63P	DB00732	Atracurium	DB00732	Atracurium		
ATRIPLEX CANESCENS POLLEN	26U0BU8G83						
ATRIPLEX CONFERTIFOLIA POLLEN	GG8WX068MX						
ATRIPLEX LENTIFORMIS POLLEN	86LWA5503I						
ATRIPLEX POLYCARPA POLLEN	JQ87AA60GU						
ATRIPLEX WRIGHTII POLLEN	YB1308W43O						
ATROPINE	7C0697DR9I	DB00572	Atropine	DB00572	Atropine		
AURANOFIN	3H04W2810V	DB00995	Auranofin	DB00995	Auranofin		
AUREOBASIDIUM PULLULANS VAR. PULLUTANS	D1A2NG69CK						
AUTOLOGOUS CULTURED CHONDROCYTES	D5P3K3V822						
AVANAFIL	DR5S136IVO						
AVENA SATIVA FLOWERING TOP	MA9CQJ3F7F						
AVENA SATIVA POLLEN	A7IKY24TR7						
AVOBENZONE	G63QQF2NOX						
AVOCADO	SDS87L369F						
AXITINIB	C9LVQ0YUXG						
AZACITIDINE	M801H13NRU	DB00928	Azacitidine	DB00928	Azacitidine	DB00928	Azacitidine
AZATHIOPRINE	MRK240IY2L	DB00993	Azathioprine	DB00993	Azathioprine	DB00993	Azathioprine
AZELAIC ACID	F2VW3D43YT	DB00548	Azelaic Acid	DB00548	Azelaic Acid		
AZELASTINE	ZQI909440X	DB00972	Azelastine	DB00972	Azelastine	DB00972	Azelastine
AZILSARTAN	F9NUX55P23						
AZITHROMYCIN ANHYDROUS	J2KLZ20U1M	DB00207	Azithromycin				
AZTREONAM	G2B4VE5GH8	DB00355	Aztreonam	DB00355	Aztreonam		
BACCHARIS HALIMIFOLIA POLLEN	BBO1IJ3ZIW						
